workload,target,build_track,scenario,go_time_n,go_time_mean,go_time_median,go_time_min,go_time_max,go_time_std,go_time_cv,go_time_p50,go_time_p95,go_time_p99,go_peak_rss_kb_median,go_cpu_s_median,rust_time_n,rust_time_mean,rust_time_median,rust_time_min,rust_time_max,rust_time_std,rust_time_cv,rust_time_p50,rust_time_p95,rust_time_p99,rust_peak_rss_kb_median,rust_cpu_s_median,ratio_rust_over_go,ratio_ci_low,ratio_ci_high,p_value,verdict
compile.hello,hello,release,clean,10,5.527119232576,5.52641045262,5.4353540423,5.64235277236,0.0633741920962972,0.011466043960618644,5.52641045262,5.619531810544,5.6377885799967995,273852.0,14.275,10,0.27972664746,0.28279583752000004,0.25094674522,0.32714032212,0.02292483506503404,0.08195441969221835,0.28279583752000004,0.311282048394,0.3239686673748,98584.0,0.30000000000000004,0.05149633230956224,0.04568985109614231,0.05577412853951246,0.007936507936507936,rust_better
compile.hello,hello,release,clean-std-cached,10,0.08401944506400001,0.08413778416,0.07759497292,0.09561622152,0.00515824240580499,0.0613934357918671,0.08413778416,0.09156699821999999,0.09480637686,21772.0,0.15,10,0.28348942412000006,0.28321567172000006,0.26266906428000003,0.30237131028,0.012777639561507358,0.04507272044158737,0.28321567172000006,0.30088609956300005,0.30207426813660004,98536.0,0.31500000000000006,3.37419975404074,3.1082609064147,3.628832050786315,0.007936507936507936,go_better
compile.hello,hello,release,edit,10,0.23197001043200002,0.23286745436,0.21067895378,0.24813358676000002,0.011523187280198126,0.04967533199114136,0.23286745436,0.245175786188,0.24754202664560002,61456.0,0.37,10,0.21592416522800004,0.21434127006000003,0.19667939316000002,0.23863714950000003,0.012304636958504672,0.05698591885494558,0.21434127006000003,0.23627266484700002,0.23816425256940002,98604.0,0.24,0.9246220302576226,0.8838162141271663,0.976948998033147,0.031746031746031744,rust_better
compile.hello,hello,release,noop,10,0.080006983096,0.07974869186,0.07222608052000001,0.08810640934000001,0.004859149414789555,0.060734066287177514,0.07974869186,0.086975560456,0.08788023956320001,21694.0,0.14,10,0.11355888468800002,0.10778230585000001,0.09732076426000001,0.14282453756000002,0.014357637876433484,0.1264334174809898,0.10778230585000001,0.137620927325,0.141783815513,52522.0,0.095,1.4050073364998517,1.3054245064755505,1.5480689736795894,0.007936507936507936,go_better
compile.http,http,release,clean,10,12.899509549124001,12.94676043881,12.54132559634,13.08934618912,0.1956484984895238,0.015167126916295058,12.94676043881,13.085548644034,13.0885866801028,276322.0,39.68,10,17.359012404139996,17.31823528676,16.91241806388,18.3357423465,0.4324435324292155,0.024911758938894527,17.31823528676,17.998428472700997,18.268279571740198,402566.0,57.16,1.3294090861165329,1.3137672317174427,1.3850769267340186,0.007936507936507936,go_better
compile.http,http,release,clean-std-cached,10,0.157793466056,0.16189840004,0.13768116322,0.17055812442,0.01097118922970706,0.0695287929464294,0.16189840004,0.169383086751,0.17032311688620003,29444.0,0.37,10,17.385960467868,17.363865447050003,16.76206745096,18.00409610912,0.4438633881069702,0.025529989495104388,17.363865447050003,17.938944320719997,17.991065751439997,402326.0,57.114999999999995,106.73306657058178,102.5626820285429,120.44503946567626,0.007936507936507936,go_better
compile.http,http,release,edit,10,0.559800499256,0.5537899765000001,0.51556857318,0.6567811934,0.03800328951228583,0.06788720189209176,0.5537899765000001,0.6206796378499999,0.64956088229,150938.0,0.9299999999999999,10,2.4044039727319997,2.43056562207,2.2906947958200004,2.4715480045,0.06398843113409215,0.02661301173171221,2.43056562207,2.466843177217,2.4706070390434,245318.0,6.705,4.424657769848547,3.9379455997733825,4.560106879163993,0.007936507936507936,go_better
compile.http,http,release,noop,10,0.11713692334400001,0.11927021028000001,0.10383039162,0.1281371537,0.008352857940560503,0.07130849694617963,0.11927021028000001,0.12757458656,0.128024640272,29332.0,0.265,10,0.13500768542000002,0.12569845719,0.11978611406,0.17436695782,0.017770432644637024,0.13162534110080013,0.12569845719,0.16616299015299998,0.1727261642866,53896.0,0.11499999999999999,1.0945773082274137,1.033105623363373,1.3148567725740616,0.031746031746031744,go_better
compile.http-check,http,check,clean,0,,,,,,,,,,,,10,10.648132670484,10.57166374521,10.3402352086,11.24819413806,0.2962107957294112,0.02781809777318893,10.57166374521,11.108932833486,11.2203418771452,331664.0,25.39,,,,,single_language
compile.http-check,http,check,edit,0,,,,,,,,,,,,10,0.266258887868,0.26464278181,0.24609306598000003,0.30224832344,0.01642270191519844,0.06167945057796578,0.26464278181,0.29121911755999996,0.30004248226400004,121764.0,0.25,,,,,single_language
compile.http-check,http,check,noop,0,,,,,,,,,,,,10,0.133092343108,0.12738949306000003,0.11797162498,0.15617033408,0.012006545629440922,0.09021214405773899,0.12738949306000003,0.15195929799799998,0.1553281268636,53786.0,0.12,,,,,single_language
compile.http-dev,http,dev,clean,10,12.947385803000003,12.9299790149,12.4357393223,13.51193250472,0.3045186746785093,0.02351970346075191,12.9299790149,13.380041744818,13.485554352739602,276980.0,39.275000000000006,10,14.281298034228001,14.1715417164,13.651925695380001,15.038691617,0.4544094217806826,0.031818495818209176,14.1715417164,14.950365466871,15.0210263869742,396670.0,38.120000000000005,1.1067732333451805,1.0714104442363732,1.1298261657800144,0.007936507936507936,go_better
compile.http-dev,http,dev,edit,10,0.560901132652,0.5738160884800001,0.49089904390000005,0.6015028578,0.0359541730487314,0.06410073176129322,0.5738160884800001,0.596180184873,0.6004383232146,148894.0,0.965,10,0.6164033723000001,0.6159567376,0.57808125186,0.64573088176,0.021179082029174682,0.034359127449528196,0.6159567376,0.642360302524,0.6450567659128,183354.0,0.8400000000000001,1.091293380471067,1.0298284733068273,1.2446877466236983,0.007936507936507936,go_better
compile.http-dev,http,dev,noop,10,0.11459914660000001,0.11346620059000001,0.1072564982,0.1229069438,0.005387986690703503,0.04701594078627722,0.11346620059000001,0.12226138348400001,0.1227778317368,29248.0,0.265,10,0.138098347644,0.13435734904000002,0.12327889992,0.16411786396,0.015381391430743017,0.11137998168084016,0.13435734904000002,0.163961297548,0.1640865506776,53836.0,0.12,1.1683308985498457,1.1494913910318496,1.2792553309627495,0.007936507936507936,go_better
