workload,size,lang,ok,alloc_objects_per_op,alloc_bytes_per_op,peak_live_bytes,live_bytes_end
cpu.nbody,10M,rust,True,0.0,0.0,37782.0,34923.0
cpu.nbody.rust-lto,10M,rust,False,0.0,0.0,,
cpu.sha256-lib,256MiB,rust,True,0.0,0.0,268472701.0,268469842.0
cpu.sha256-lib,64MiB,rust,True,0.0,0.0,67146107.0,67143248.0
cpu.sha256-portable,256MiB,rust,True,0.0,0.0,268472706.0,268469847.0
cpu.sha256-portable,64MiB,rust,True,0.0,0.0,67146112.0,67143253.0
cpu.sha256-portable.rust-lto,256MiB,rust,False,0.0,0.0,,
cpu.sieve,1e7,rust,True,0.0,0.0,10037335.0,10034476.0
cpu.sieve,1e8,rust,True,0.0,0.0,100037241.0,100034382.0
cpu.sieve.rust-lto,1e8,rust,False,0.0,0.0,,
cpu.sort-stable,1M,rust,True,1.0,8000000.0,40034495.0,32034495.0
cpu.sort-u64,10M,rust,True,0.0,0.0,160037305.0,160034398.0
cpu.sort-u64,1M,rust,True,0.0,0.0,16037527.0,16034620.0
cpu.sort-u64.rust-lto,10M,rust,False,0.0,0.0,,
io.lines,100MiB,rust,True,2.0,65792.0,100357.0,34565.0
io.lines,10MiB,rust,True,2.0,65792.0,100578.0,34786.0
io.lines,1GiB,rust,True,2.0,65792.0,100351.0,34559.0
io.lines-idiomatic,100MiB,rust,True,5891357.0,481932062.0,100361.0,34575.0
io.read-buffered,100MiB,rust,True,1.0,65536.0,1149183.0,1083647.0
io.read-buffered,10MiB,rust,True,1.0,65536.0,1156860.0,1091324.0
io.read-buffered,1GiB,rust,True,1.0,65536.0,1148697.0,1083161.0
io.read-seq,100MiB,rust,True,0.0,0.0,1086245.0,1083386.0
io.read-seq,10MiB,rust,True,0.0,0.0,1094178.0,1091319.0
io.read-seq,1GiB,rust,True,0.0,0.0,1086015.0,1083156.0
io.write-buffered,100MiB,rust,True,1.0,65536.0,1148677.0,1083141.0
io.write-buffered,10MiB,rust,True,1.0,65536.0,1149571.0,1084035.0
io.write-buffered,1GiB,rust,True,1.0,65536.0,1148583.0,1083047.0
io.write-fsync,100MiB,rust,True,0.0,0.0,1086035.0,1083114.0
io.write-fsync,10MiB,rust,True,0.0,0.0,1086513.0,1083592.0
