workload,tier,test,level,connections,rate_frac,target_rps,runs,excluded_runs,loadgen_saturated_runs,go_n,go_rps,go_lat_p50_us,go_lat_p90_us,go_lat_p99_us,go_lat_p99.9_us,go_lat_max_us,go_lat_mean_us,go_server_cpu_util,go_requests_per_cpu_second,go_server_rss_avg_kb,go_server_rss_peak_kb,go_server_threads_max,go_error_rate,go_loadgen_cpu_util,rust_n,rust_rps,rust_lat_p50_us,rust_lat_p90_us,rust_lat_p99_us,rust_lat_p99.9_us,rust_lat_max_us,rust_lat_mean_us,rust_server_cpu_util,rust_requests_per_cpu_second,rust_server_rss_avg_kb,rust_server_rss_peak_kb,rust_server_threads_max,rust_error_rate,rust_loadgen_cpu_util,compared_metric,ratio_rust_over_go,ratio_ci_low,ratio_ci_high,p_value,verdict,valid
http.users,primary,latency,r25,100,0.25,12833.524805217907,6,0,0,3,12807.048432423178,1056.0,1767.0,2539.0,6631.0,25056.0,1103.804,0.7106267609191282,18022.187084340134,13160.242514358888,13672.0,6.0,0.0,0.4540125783730825,3,12712.00811553136,1069.0,1803.0,2433.0,5095.0,22384.0,1115.753,0.4205851756028277,30224.57483745391,6589.153673441997,6696.0,3.0,0.0,0.35482909135745994,p99 latency,0.9582512800315085,0.8660068519223448,0.9806685461135722,0.1,insufficient_rounds,True
http.users,primary,latency,r50,100,0.5,25667.049610435814,6,0,0,3,25614.239762670622,1281.0,2345.0,5435.0,10831.0,25200.0,1450.996,1.0980744469627528,23326.5056240212,13204.50277769541,13512.0,6.0,0.0,0.6856646133868431,3,25614.497563425964,1096.0,1885.0,2601.0,11943.0,44960.0,1164.696,0.7238495434920662,35385.86042971684,6581.194877594083,6704.0,3.0,0.0,0.6153321141963266,p99 latency,0.47856485740570376,0.46116936200462055,93.59937025375069,0.7,insufficient_rounds,True
http.users,primary,latency,r75,100,0.75,38500.57441565372,6,0,0,3,38418.46849427183,1620.0,4009.0,10527.0,24527.0,49120.0,2158.238,1.4858580572538327,25856.08248830777,13242.348771419991,13564.0,7.0,0.0,0.9173311347352251,3,38420.55679411803,1211.0,2123.0,3307.0,8535.0,17104.0,1340.008,0.9663590396878494,39758.01627487802,6645.414075545083,6712.0,3.0,0.0,0.7848297944442267,p99 latency,0.31414458060226086,0.21936010689629576,0.3951584609987136,0.1,insufficient_rounds,True
http.users,primary,latency,r90,100,0.9,46200.68929878446,6,0,0,3,46103.67731549222,1900.0,7315.0,27215.0,45695.0,71040.0,3454.409,1.6830145201466176,27393.232216519842,13199.077491361617,13452.0,6.0,0.0,1.0489975067951758,3,46104.66396876003,1275.0,2323.0,4759.0,32351.0,65920.0,1521.867,1.1313734086027387,40750.31058941648,6395.551781331793,6564.0,3.0,0.0,0.8929961198872092,p99 latency,0.17486680139628882,0.12460366631437006,0.22600687895262397,0.1,insufficient_rounds,True
http.users,primary,throughput,c1,1,,,10,0,0,5,8729.720398579335,99.0,156.0,513.0,3400.0,9546.0,123.76,1.0272174962912137,8551.274594411967,11929.072234854566,12188.0,6.0,0.0,0.2993310782428338,5,13027.230406563078,68.0,88.0,274.0,2312.0,6668.0,83.155,0.5586546930816718,23304.86482157168,3452.0,3452.0,3.0,0.0,0.4426628848353318,rps,1.4922849543592616,1.4337676710000913,1.5227468812187084,0.007936507936507936,rust_better,True
http.users,primary,throughput,c10,10,,,10,0,0,5,40615.10439969749,211.0,660.0,4040.0,5270.0,12993.0,408.671,1.613105662006467,25178.204600173714,12346.957338996504,12652.0,6.0,0.0,0.7153273906079703,5,68663.32420113837,134.0,216.0,427.0,2814.0,12123.0,146.856,1.9287409141846628,35562.988326223836,3896.0,3896.0,3.0,0.0,1.0296577461238174,rps,1.6905859338785743,1.6474311296997373,1.776193272811817,0.007936507936507936,rust_better,True
http.users,primary,throughput,c100,100,,,10,0,0,5,51334.09922087163,1895.0,4057.0,6503.0,10133.0,24673.0,2066.392,1.9415139544431608,26472.16547536319,13284.802990159511,13620.0,6.0,0.0,0.8429949146612772,5,78167.59695255013,1246.0,1782.0,2444.0,4507.0,11940.0,1274.12,1.9667179242634922,39745.199852095095,6823.394051736945,6836.0,3.0,0.0,1.1299898988696286,rps,1.522722676329118,1.318670587383244,1.561650861748432,0.007936507936507936,rust_better,True
http.users,primary,throughput,c1000,1000,,,10,0,0,5,41849.409079664525,23286.0,31235.0,43561.0,53329.0,72664.0,23799.209,1.8443777945320028,22647.715099375284,40218.62237334214,40352.0,5.0,0.0,0.827988691578847,5,67451.7257390538,7775.0,41221.0,59460.0,71691.0,89034.0,17383.093,1.962027772182643,34133.07639318547,32513.842337640363,32628.0,3.0,0.0,1.1173266438242284,rps,1.6117724771370776,1.4868270863222393,1.7242999182724024,0.007936507936507936,rust_better,True
http.users,primary,throughput,c10000,10000,,,10,0,0,5,42005.15731567075,233102.0,277075.0,301860.0,322406.0,333148.0,234557.139,1.8201031797078144,23220.31854994583,319359.4580327166,319696.0,5.0,0.0,0.9446555442922882,5,70068.61281615119,159495.0,507758.0,630860.0,680369.0,703068.0,194465.638,1.944365945600029,36036.74142447917,275242.2926368793,278312.0,3.0,0.0,1.2786483217713294,rps,1.6680954743147902,1.5894545873557178,1.7538663741442266,0.007936507936507936,rust_better,True
http.users,primary,throughput,c500,500,,,10,0,0,5,43787.81002812904,10965.0,17255.0,26029.0,34297.0,46373.0,11467.916,1.8524352567885323,23622.876906697176,24736.0,24820.0,5.0,0.0,0.8253273284442679,5,73161.57616775093,5912.0,13014.0,21270.0,26716.0,40835.0,7095.183,1.977125112062843,36928.31907093191,18111.328810422743,18228.0,3.0,0.0,1.1356594512543432,rps,1.6708206261229404,1.5912784247787184,1.7463595365537226,0.007936507936507936,rust_better,True
