workload,test,metric,variant_of,track,go_n,go_mean,go_median,go_min,go_max,go_std,go_cv,go_p50,go_p95,go_p99,rust_n,rust_mean,rust_median,rust_min,rust_max,rust_std,rust_cv,rust_p50,rust_p95,rust_p99,unit,ratio_rust_over_go,ratio_ci_low,ratio_ci_high,p_value,verdict,go_hwm_kb_median,go_threads_median,rust_hwm_kb_median,rust_threads_median
startup.hello,cli,exec_to_exit_ms,,baseline,1000,1.035642622,0.9329625,0.837396,7.177035000000001,0.30182915844865776,0.29144142200885376,0.9329625,1.4525824999999999,1.85540957,1000,1.4847464110000002,1.4073350000000002,1.2823790000000002,8.282278,0.2964772147212547,0.19968205514743265,1.4073350000000002,1.8690131,2.2899820199999996,round medians,1.5120774267297907,1.4436604979326446,1.5898881512647791,0.00018267179110955002,go_better,,,,
startup.hello-static,cli,exec_to_exit_ms,startup.hello,tuned,1000,1.013515452,0.932235,0.8405260000000001,4.430428,0.2541644448176282,0.2507751059108946,0.932235,1.38260135,1.86486072,1000,1.086190414,1.0256765,0.9698870000000002,3.3698110000000003,0.16851746548378208,0.15514541770185616,1.0256765,1.3629961499999999,1.59811949,round medians,1.1110256172895314,1.0529966504443702,1.142008719958463,0.0022022199424970783,go_better,,,,
startup.http-ttfr,ttfr,health_ms,,baseline,300,2.7719831900000003,2.6610199999999997,1.768181,5.071161,0.45487001842503005,0.16409551835162103,2.6610199999999997,3.5773133000000006,4.484843769999999,300,2.43245482,2.3106340000000003,1.875104,5.815254,0.39893590796054185,0.16400547491383288,2.3106340000000003,2.9098803000000006,3.816739309999991,starts,0.8683264312181045,0.8583840597633327,0.8886787330602459,5.8706710649991315e-34,rust_better,6364.0,4.0,3696.0,3.0
startup.http-ttfr,ttfr,first_request_ms,,baseline,300,3.5362666033333334,3.3861345,2.594937,12.698292,0.7336792900793213,0.2074728442102598,3.3861345,4.500020200000001,5.50622907,300,2.9403275266666666,2.8203035,2.269419,6.98392,0.48835664913436133,0.1660892008476321,2.8203035,3.487920700000001,4.764964359999989,starts,0.832897659558414,0.8182054821774364,0.8478591485951436,4.493084259889189e-55,rust_better,6364.0,4.0,3696.0,3.0
startup.http-ttfr-static,ttfr,health_ms,startup.http-ttfr,tuned,300,2.5158121566666667,2.425434,1.43366,5.666643,0.44904502398765356,0.17848909060945836,2.425434,3.214216,4.136798619999993,300,1.81063192,1.7235405,1.490827,5.569215,0.39464993477576465,0.21796254137382304,1.7235405,2.21151265,3.3427604399999984,starts,0.7106111730931454,0.6955153210181331,0.7279568628333272,5.0890621413889926e-83,rust_better,6368.0,4.0,2168.0,3.0
startup.http-ttfr-static,ttfr,first_request_ms,startup.http-ttfr,tuned,300,3.2053100900000002,3.0935465,1.865185,7.244332,0.5639794987131634,0.1759516186819739,3.0935465,3.971855900000001,5.764859399999997,300,2.2688649266666667,2.164825,1.849949,6.174761,0.4311829205663047,0.1900434510219094,2.164825,2.7787835500000004,3.98472035,starts,0.699787444604437,0.6790392999283994,0.715248797720725,1.3283509475558385e-84,rust_better,6368.0,4.0,2168.0,3.0
