run_id,workload,tier,test,level,connections,rate_frac,target_rps,lang,impl,round,ok,flags,error,rps,requests,error_count,error_rate,lat_mean_us,lat_max_us,server_cpu_util,requests_per_cpu_second,server_rss_avg_kb,server_rss_peak_kb,server_hwm_kb,server_threads_max,loadgen_cpu_util,steal_server,server_ready_ms,lat_p50_us,lat_p75_us,lat_p90_us,lat_p95_us,lat_p99_us,lat_p99.9_us,lat_p99.99_us
20260925T083500Z-native-vm,http.users,primary,latency,r75,100,0.75,38500.57441565372,rust,http-axum,1,True,,,38420.55679411803,2305255,0,0.0,1401.405,80896,0.9474447063893224,40551.76680498578,6336.366581073809,6496,6596,3,0.7804972455211543,0.006777472970792319,8.046612,1198,1697,2123,2387,3379,41791,72703
20260925T083500Z-native-vm,http.users,primary,latency,r75,100,0.75,38500.57441565372,rust,http-axum,2,True,,,38420.969579661614,2305278,0,0.0,1299.127,14728,0.970882237688037,39573.25418904925,6700.218429368681,6712,6744,3,0.7861640070607281,0.007085844600097735,8.401712,1211,1702,2123,2375,2955,5527,9815
20260925T083500Z-native-vm,http.users,primary,latency,r90,100,0.9,46200.68929878446,go,http,0,True,,,46104.36757789711,2766313,0,0.0,3454.409,66176,1.6895384172866572,27288.143972446152,13199.077491361617,13324,13780,6,1.0489975067951758,0.009866163349347975,8.052344,1900,3387,7315,12191,27215,41663,54783
20260925T083500Z-native-vm,http.users,primary,latency,r90,100,0.9,46200.68929878446,go,http,1,True,,,46103.67731549222,2766214,0,0.0,3274.24,81664,1.6478622863252714,27977.870297828893,13036.643431360955,13540,13600,6,1.03215817517017,0.010129624860503048,8.537363,1834,3225,6651,10311,27039,55903,66751
20260925T083500Z-native-vm,http.users,primary,latency,r90,100,0.9,46200.68929878446,go,http,2,True,,,46103.207574151005,2766186,0,0.0,3577.039,71040,1.6830145201466176,27393.232216519842,13200.076086644678,13452,13500,7,1.0499971300778443,0.01194845096867799,8.035659,1973,3641,7775,12079,27439,45695,59551
20260925T083500Z-native-vm,http.users,primary,latency,r90,100,0.9,46200.68929878446,rust,http-axum,0,True,,,46103.817793168404,2766263,0,0.0,1521.867,169472,1.1313734086027387,40750.31058941648,6395.551781331793,6520,6592,3,0.8903296427982533,0.01152243196861976,8.471247,1275,1792,2323,2737,6111,32351,56671
20260925T083500Z-native-vm,http.users,primary,latency,r90,100,0.9,46200.68929878446,rust,http-axum,1,True,,,46104.81725092776,2766322,0,0.0,1568.308,65920,1.144433786300719,40286.13782887126,6357.390029106164,6564,6576,3,0.8953179102438062,0.008344923504867872,8.416453,1283,1798,2327,2713,4759,50175,59935
20260925T083500Z-native-vm,http.users,primary,latency,r90,100,0.9,46200.68929878446,rust,http-axum,2,True,,,46104.66396876003,2766330,0,0.0,1385.555,20016,1.126036053649414,40944.216501183626,6651.566847494805,6720,6740,3,0.8929961198872092,0.008979591836734694,8.056415,1267,1772,2271,2617,3419,9743,15047
20260925T083500Z-native-vm,http.users,primary,throughput,c1,1,,,go,http,0,True,,,9086.012099489059,273490,0,0.0,112.657,7501,1.03025179536635,8819.215011664348,11861.798524074058,12048,12156,6,0.29933073188985326,0.008638853771597134,8.29739,96,122,149,169,330,1877,4533
20260925T083500Z-native-vm,http.users,primary,throughput,c1,1,,,go,http,1,True,,,8729.517611357813,261904,0,0.0,124.773,8483,1.0208440291535394,8551.274594411967,12066.352221233125,12640,12640,6,0.3003313102315503,0.00989057239057239,8.117368,99,127,156,183,516,3467,6708
20260925T083500Z-native-vm,http.users,primary,throughput,c1,1,,,go,http,2,True,,,8729.720398579335,262762,0,0.0,123.355,9666,1.0272174962912137,8498.414824609335,11937.377899509953,12188,12228,6,0.2993310782428338,0.010025062656641603,8.298803,99,127,157,184,471,3271,6816
20260925T083500Z-native-vm,http.users,primary,throughput,c1,1,,,go,http,3,True,,,8555.085922183549,256774,0,0.0,145.861,36542,1.0302518390697932,8303.878331251388,11907.661494419925,12204,12212,5,0.29933187612589396,0.009964708324683413,8.092362,102,130,160,188,539,6996,33526
20260925T083500Z-native-vm,http.users,primary,throughput,c1,1,,,go,http,4,True,,,8803.76206793895,264168,0,0.0,123.76,9546,1.0238634290754096,8598.57068621848,11929.072234854566,12176,12216,6,0.2973310418921928,0.009688289806234204,8.08147,98,126,155,181,513,3400,6838
