run_id,workload,target,build_track,scenario,lang,round,i,ok,time_s,peak_rss_kb,cpu_s
20260925T083500Z-native-vm,compile.hello,hello,release,edit,go,4,1,True,0.23846320276000002,61732,0.38
20260925T083500Z-native-vm,compile.hello,hello,release,edit,rust,0,0,True,0.23338273916000002,98036,0.25
20260925T083500Z-native-vm,compile.hello,hello,release,edit,rust,0,1,True,0.19667939316000002,98228,0.22
20260925T083500Z-native-vm,compile.hello,hello,release,edit,rust,1,0,True,0.21329045686,98048,0.24
20260925T083500Z-native-vm,compile.hello,hello,release,edit,rust,1,1,True,0.21842309886000003,98836,0.24000000000000002
20260925T083500Z-native-vm,compile.hello,hello,release,edit,rust,2,0,True,0.23863714950000003,97448,0.26
20260925T083500Z-native-vm,compile.hello,hello,release,edit,rust,2,1,True,0.21576341150000003,98612,0.25
20260925T083500Z-native-vm,compile.hello,hello,release,edit,rust,3,0,True,0.20715663654000002,99968,0.22999999999999998
20260925T083500Z-native-vm,compile.hello,hello,release,edit,rust,3,1,True,0.21499409654000004,98828,0.24
20260925T083500Z-native-vm,compile.hello,hello,release,edit,rust,4,0,True,0.21368844358000003,98596,0.24
20260925T083500Z-native-vm,compile.hello,hello,release,edit,rust,4,1,True,0.20722622658,99700,0.25
20260925T083500Z-native-vm,compile.hello,hello,release,noop,go,0,0,True,0.08810640934000001,22036,0.16
20260925T083500Z-native-vm,compile.hello,hello,release,noop,go,0,1,True,0.07720577234,22056,0.14
20260925T083500Z-native-vm,compile.hello,hello,release,noop,go,1,0,True,0.07861682386,21636,0.15000000000000002
20260925T083500Z-native-vm,compile.hello,hello,release,noop,go,1,1,True,0.08088055986,21572,0.15
20260925T083500Z-native-vm,compile.hello,hello,release,noop,go,2,0,True,0.07222608052000001,21612,0.13
20260925T083500Z-native-vm,compile.hello,hello,release,noop,go,2,1,True,0.07550605052,21696,0.13
20260925T083500Z-native-vm,compile.hello,hello,release,noop,go,3,0,True,0.08559341181999999,21692,0.15
20260925T083500Z-native-vm,compile.hello,hello,release,noop,go,3,1,True,0.07709735682000002,21556,0.14
20260925T083500Z-native-vm,compile.hello,hello,release,noop,go,4,0,True,0.08387664194,21944,0.14
20260925T083500Z-native-vm,compile.hello,hello,release,noop,go,4,1,True,0.08096072394,21988,0.14
20260925T083500Z-native-vm,compile.hello,hello,release,noop,rust,0,0,True,0.14282453756000002,52688,0.13
20260925T083500Z-native-vm,compile.hello,hello,release,noop,rust,0,1,True,0.10408841356000001,52680,0.09
20260925T083500Z-native-vm,compile.hello,hello,release,noop,rust,1,0,True,0.09732076426000001,52524,0.08
20260925T083500Z-native-vm,compile.hello,hello,release,noop,rust,1,1,True,0.13126095926,52520,0.12
20260925T083500Z-native-vm,compile.hello,hello,release,noop,rust,2,0,True,0.10704425618,52356,0.1
20260925T083500Z-native-vm,compile.hello,hello,release,noop,rust,2,1,True,0.10533626018,52432,0.09
20260925T083500Z-native-vm,compile.hello,hello,release,noop,rust,3,0,True,0.11564926692000001,52368,0.1
20260925T083500Z-native-vm,compile.hello,hello,release,noop,rust,3,1,True,0.10213164792,52500,0.09
20260925T083500Z-native-vm,compile.hello,hello,release,noop,rust,4,0,True,0.12141238552,53000,0.11
20260925T083500Z-native-vm,compile.hello,hello,release,noop,rust,4,1,True,0.10852035552,52816,0.09
20260925T083500Z-native-vm,compile.http,http,release,clean,go,0,0,True,12.83333768712,283752,39.36
20260925T083500Z-native-vm,compile.http,http,release,clean,go,0,1,True,13.08934618912,273296,40.06
20260925T083500Z-native-vm,compile.http,http,release,clean,go,1,0,True,12.871339674340001,284076,39.49
20260925T083500Z-native-vm,compile.http,http,release,clean,go,1,1,True,12.54132559634,279888,38.76
20260925T083500Z-native-vm,compile.http,http,release,clean,go,2,0,True,13.08090720004,277188,39.87
20260925T083500Z-native-vm,compile.http,http,release,clean,go,2,1,True,13.06033410504,273216,40.17
20260925T083500Z-native-vm,compile.http,http,release,clean,go,3,0,True,12.59699954216,275456,38.75
20260925T083500Z-native-vm,compile.http,http,release,clean,go,3,1,True,12.99003847516,281692,39.96
20260925T083500Z-native-vm,compile.http,http,release,clean,go,4,0,True,13.027984619460002,274248,40.07
20260925T083500Z-native-vm,compile.http,http,release,clean,go,4,1,True,12.90348240246,272784,39.4
20260925T083500Z-native-vm,compile.http,http,release,clean,rust,0,0,True,18.3357423465,402524,60.27
20260925T083500Z-native-vm,compile.http,http,release,clean,rust,0,1,True,17.569168969499998,401620,57.92999999999999
20260925T083500Z-native-vm,compile.http,http,release,clean,rust,1,0,True,16.9598264828,402568,56.08
20260925T083500Z-native-vm,compile.http,http,release,clean,rust,1,1,True,17.5020249988,402812,57.7
20260925T083500Z-native-vm,compile.http,http,release,clean,rust,2,0,True,17.15549357988,402640,56.410000000000004
20260925T083500Z-native-vm,compile.http,http,release,clean,rust,2,1,True,16.91241806388,402564,56.86
20260925T083500Z-native-vm,compile.http,http,release,clean,rust,3,0,True,17.58615596028,402152,58.209999999999994
20260925T083500Z-native-vm,compile.http,http,release,clean,rust,3,1,True,17.43586607428,403248,57.46
20260925T083500Z-native-vm,compile.http,http,release,clean,rust,4,0,True,17.20060449924,402696,56.82
20260925T083500Z-native-vm,compile.http,http,release,clean,rust,4,1,True,16.93282306624,402460,56.739999999999995
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,go,0,0,True,0.1449829105,29508,0.32999999999999996
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,go,0,1,True,0.15277456150000002,29004,0.35
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,go,1,0,True,0.16794692960000002,29940,0.41000000000000003
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,go,1,1,True,0.16442865660000003,29684,0.38
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,go,2,0,True,0.17055812442,29008,0.4
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,go,2,1,True,0.16640484042,29520,0.37
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,go,3,0,True,0.16238557804,29324,0.39
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,go,3,1,True,0.16141122204,29380,0.37
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,go,4,0,True,0.13768116322,30140,0.3
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,go,4,1,True,0.14936067422000002,29296,0.36
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,rust,0,0,True,17.35744576496,403256,57.39
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,rust,0,1,True,16.76206745096,403448,55.84
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,rust,1,0,True,17.37028512914,403412,56.59
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,rust,1,1,True,17.18954028914,401604,56.839999999999996
20260925T083500Z-native-vm,compile.http,http,release,clean-std-cached,rust,2,0,True,17.85612158362,402592,58.03
